ligand	receptor
Ifnw1	Ifnar2
Gh	Ghr
Pthlh	Pth1r
Igf2	Igf2r
Tgfa	Erbb2
Pmch	Mchr2
Pyy	Npy5r
Crh	Crhr1
Hbegf	Egfr
Inhbc	Acvr1
Il17a	Il17ra
Vegfa	Vtn
Ccl13	Ccr2
Tslp	Il7r
Lta	Tnfrsf1b
Cort	Mrgpra6
Cort	Mrgpra9
Cort	Mrgpra1
Cort	Mrgpra2a
Cort	Mrgpra2b
Cort	Mrgpra3
Cort	Mrgpra4
Cort	Mrgprx1
Cort	Mrgprb5
Cort	Mrgprb4
Cort	Mrgprb8
Cort	Mrgprb1
Cort	Mrgprx2
Cort	Mrgprb2
Cort	Mrgprb3
Nrg3	Erbb4
Hcrt	Npffr2
Il1b	Il1rap
Il12a	Il12rb1
Hgf	Vtn
Wnt1	Sfrp1
Il15	Gm20489
Il15	Il2rg
Ccl3	Cxcr5
F2	Thbd
Ccl3	Ccr5
Gal	Gpr151
Ptn	Ptprz1
Tnfsf10	Tnfrsf26
Tnfsf10	Tnfrsf22
Tnfsf10	Tnfrsf23
Ltb	Tnfrsf1a
Ccl2	Ccr3
Pyy	Npy2r
Ccl16	Cxcr5
Npy	Npy1r
Wnt5a	Ror2
Il33	Il1rl1
Sct	Sctr
Il12b	Il23r
Inhbb	Acvr2a
Vegfc	Itga9
Cxcl5	Darc
Cort	Sstr5
Tnf	Ptprz1
Lif	Il6st
Tnf	Tnfrsf1a
Ccl4	Ccr1
Ccl4	Ccr1l1
Tgfb1	Eng
Angptl3	Itgav
Aregb	Egfr
Insl6	Alk
Ucn2	Crhr2
Cort	Ghsr
Calca	Calcr
Ccl4	Ccr8
Inhbc	Acvr1b
Nrtn	Gfra1
Ccl3	Ccr1
Ccl3	Ccr1l1
Tnfsf13	Tnfrsf11b
Cntf	Lifr
Tnfsf13	Tnfrsf1a
Gdf11	Acvr2b
Gdf11	Acvr1b
Cga	Lhcgr
Il22	Il22ra1
Il22b	Il22ra1
Tnfsf13b	Tnfrsf13b
Il22	Ifnar2
Il22b	Ifnar2
Figf	Kdr
Pdgfc	Pdgfra
F2	F2rl2
Il10	Ifnar2
Il24	Il20ra
Gcg	Glp1r
Lhb	Lhcgr
Nrg2	Erbb4
Tgfb1	Acvrl1
Cort	Sstr3
F2	F2rl1
Igf2	Vtn
Cd40lg	Itga5
Il37	Il18r1
Gcg	Glp2r
Nrg1	Egfr
Ins1	Igf1r
Ins2	Igf1r
Tgfb3	Itgav
Il5	Csf2rb2
Il5	Csf2rb
Fgf5	Fgfr3
Ccl7	Darc
Tnfsf10	Tnfrsf26
Tnfsf10	Tnfrsf22
Tnfsf10	Tnfrsf23
Bdnf	Ntrk2
Npff	Npffr2
Pnoc	Oprl1
Ccl4	Cxcr5
Cmtm8	Egfr
Adm	Ramp2
Gal	Galr2
Chgb	Fgfr3
Ccl13	Ccr3
Ccl16	Hrh4
Cxcl2	Cxcr1
Tnfsf12	Tnfrsf12a
Btc	Erbb2
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Ccl3	Ccr5
Ccl26	Ccr1
Ccl26	Ccr1l1
Uts2	Uts2r
Ifnb1	Ifnar2
Bmp7	Acvr1
Fasl	Tnfrsf6b
Gal	Galr1
Nppa	Npr2
Figf	Itgb1
Pf4	Ldlr
